"Element Code","Scientific Name.x","Scientific Name Synonyms","English Name.x","English Name Synonyms","Class (English)","Scientific Name.y","English Name.y","BirdNET"
"ABPBX11030","Geothlypis philadelphia","Oporornis philadelphia","Mourning Warbler",NA,"birds","Geothlypis philadelphia","Mourning Warbler","Geothlypis philadelphia_Mourning Warbler"
"ABPBX11040","Geothlypis tolmiei","Oporornis tolmiei","MacGillivray's Warbler",NA,"birds","Geothlypis tolmiei","MacGillivray's Warbler","Geothlypis tolmiei_MacGillivray's Warbler"
"ABPBX12010","Geothlypis trichas",NA,"Common Yellowthroat",NA,"birds","Geothlypis trichas","Common Yellowthroat","Geothlypis trichas_Common Yellowthroat"
"ABPBX01050","Leiothlypis celata","Oreothlypis celata; Vermivora celata","Orange-crowned Warbler",NA,"birds","Leiothlypis celata","Orange-crowned Warbler","Leiothlypis celata_Orange-crowned Warbler"
"ABPBX01090","Leiothlypis luciae","Oreothlypis luciae","Lucy's Warbler",NA,"birds","Leiothlypis luciae","Lucy's Warbler","Leiothlypis luciae_Lucy's Warbler"
"ABPBX01040","Leiothlypis peregrina","Oreothlypis peregrina; Vermivora peregrina","Tennessee Warbler",NA,"birds","Leiothlypis peregrina","Tennessee Warbler","Leiothlypis peregrina_Tennessee Warbler"
"ABPBX01060","Leiothlypis ruficapilla","Oreothlypis ruficapilla; Vermivora ruficapilla","Nashville Warbler",NA,"birds","Leiothlypis ruficapilla","Nashville Warbler","Leiothlypis ruficapilla_Nashville Warbler"
"ABPBX05010","Mniotilta varia",NA,"Black-and-white Warbler",NA,"birds","Mniotilta varia","Black-and-white Warbler","Mniotilta varia_Black-and-white Warbler"
"ABPBX19010","Myioborus pictus",NA,"Painted Redstart",NA,"birds","Myioborus pictus","Painted Redstart","Myioborus pictus_Painted Redstart"
"ABPBX11020","Oporornis agilis",NA,"Connecticut Warbler",NA,"birds","Oporornis agilis","Connecticut Warbler","Oporornis agilis_Connecticut Warbler"
"ABPBX10020","Parkesia noveboracensis","Seiurus noveboracensis","Northern Waterthrush",NA,"birds","Parkesia noveboracensis","Northern Waterthrush","Parkesia noveboracensis_Northern Waterthrush"
"ABPBX07010","Protonotaria citrea",NA,"Prothonotary Warbler",NA,"birds","Protonotaria citrea","Prothonotary Warbler","Protonotaria citrea_Prothonotary Warbler"
"ABPBX10010","Seiurus aurocapilla","Seiurus aurocapillus","Ovenbird",NA,"birds","Seiurus aurocapilla","Ovenbird","Seiurus aurocapilla_Ovenbird"
"ABPBX02010","Setophaga americana","Parula americana","Northern Parula",NA,"birds","Setophaga americana","Northern Parula","Setophaga americana_Northern Parula"
"ABPBX03050","Setophaga caerulescens","Dendroica caerulescens","Black-throated Blue Warbler",NA,"birds","Setophaga caerulescens","Black-throated Blue Warbler","Setophaga caerulescens_Black-throated Blue Warbler"
"ABPBX03220","Setophaga castanea","Dendroica castanea","Bay-breasted Warbler",NA,"birds","Setophaga castanea","Bay-breasted Warbler","Setophaga castanea_Bay-breasted Warbler"
"ABPBX16010","Setophaga citrina","Wilsonia citrina","Hooded Warbler",NA,"birds","Setophaga citrina","Hooded Warbler","Setophaga citrina_Hooded Warbler"
"ABPBX03060","Setophaga coronata","Dendroica coronata","Yellow-rumped Warbler",NA,"birds","Setophaga coronata","Yellow-rumped Warbler","Setophaga coronata_Yellow-rumped Warbler"
"ABPBX03190","Setophaga discolor","Dendroica discolor","Prairie Warbler",NA,"birds","Setophaga discolor","Prairie Warbler","Setophaga discolor_Prairie Warbler"
"ABPBX03130","Setophaga dominica","Dendroica dominica","Yellow-throated Warbler",NA,"birds","Setophaga dominica","Yellow-throated Warbler","Setophaga dominica_Yellow-throated Warbler"
