"Scientific Name","English Name.x","BirdNET","English Name.y","Species Code","Class (English)"
"Amazona tucumana","Tucuman Parrot","Amazona tucumana_Tucuman Parrot",NA,NA,NA
"Amazona ventralis","Hispaniolan Parrot","Amazona ventralis_Hispaniolan Parrot",NA,NA,NA
"Amazona vinacea","Vinaceous-breasted Parrot","Amazona vinacea_Vinaceous-breasted Parrot",NA,NA,NA
"Amazona viridigenalis","Red-crowned Parrot","Amazona viridigenalis_Red-crowned Parrot",NA,NA,NA
"Amazona xantholora","Yellow-lored Parrot","Amazona xantholora_Yellow-lored Parrot",NA,NA,NA
"Amazonetta brasiliensis","Brazilian Teal","Amazonetta brasiliensis_Brazilian Teal",NA,NA,NA
"Amblycercus holosericeus","Yellow-billed Cacique","Amblycercus holosericeus_Yellow-billed Cacique",NA,NA,NA
"Amblycorypha alexanderi","Clicker Round-winged Katydid","Amblycorypha alexanderi_Clicker Round-winged Katydid",NA,NA,NA
"Amblycorypha longinicta","Common Virtuoso Katydid","Amblycorypha longinicta_Common Virtuoso Katydid",NA,NA,NA
"Amblycorypha oblongifolia","Oblong-winged Katydid","Amblycorypha oblongifolia_Oblong-winged Katydid",NA,NA,NA
"Amblycorypha rotundifolia","Rattler Round-winged Katydid","Amblycorypha rotundifolia_Rattler Round-winged Katydid",NA,NA,NA
"Amblyornis newtoniana","Golden Bowerbird","Amblyornis newtoniana_Golden Bowerbird",NA,NA,NA
"Amblyospiza albifrons","Grosbeak Weaver","Amblyospiza albifrons_Grosbeak Weaver",NA,NA,NA
"Amblyramphus holosericeus","Scarlet-headed Blackbird","Amblyramphus holosericeus_Scarlet-headed Blackbird",NA,NA,NA
"Ammodramus aurifrons","Yellow-browed Sparrow","Ammodramus aurifrons_Yellow-browed Sparrow",NA,NA,NA
"Ammodramus humeralis","Grassland Sparrow","Ammodramus humeralis_Grassland Sparrow",NA,NA,NA
"Ammodramus savannarum","Grasshopper Sparrow","Ammodramus savannarum_Grasshopper Sparrow","Grasshopper Sparrow","B-GRSP","birds"
"Ammomanes cinctura","Bar-tailed Lark","Ammomanes cinctura_Bar-tailed Lark",NA,NA,NA
"Ammomanes deserti","Desert Lark","Ammomanes deserti_Desert Lark",NA,NA,NA
"Ammomanes phoenicura","Rufous-tailed Lark","Ammomanes phoenicura_Rufous-tailed Lark",NA,NA,NA
"Ammonastes pelzelni","Grey-bellied Antbird","Ammonastes pelzelni_Grey-bellied Antbird",NA,NA,NA
"Ammospiza caudacuta","Saltmarsh Sparrow","Ammospiza caudacuta_Saltmarsh Sparrow",NA,NA,NA
"Ammospiza leconteii","LeConte's Sparrow","Ammospiza leconteii_LeConte's Sparrow","LeConte's Sparrow","B-LCSP","birds"
"Ammospiza maritima","Seaside Sparrow","Ammospiza maritima_Seaside Sparrow",NA,NA,NA
"Ammospiza nelsoni","Nelson's Sparrow","Ammospiza nelsoni_Nelson's Sparrow","Nelson's Sparrow","B-NESP","birds"
"Ampelioides tschudii","Scaled Fruiteater","Ampelioides tschudii_Scaled Fruiteater",NA,NA,NA
"Ampelion rubrocristatus","Red-crested Cotinga","Ampelion rubrocristatus_Red-crested Cotinga",NA,NA,NA
"Ampelion rufaxilla","Chestnut-crested Cotinga","Ampelion rufaxilla_Chestnut-crested Cotinga",NA,NA,NA
"Ampelornis griseiceps","Grey-headed Antbird","Ampelornis griseiceps_Grey-headed Antbird",NA,NA,NA
"Amphispiza bilineata","Black-throated Sparrow","Amphispiza bilineata_Black-throated Sparrow","Black-throated Sparrow","B-BTSP","birds"
"Amphispizopsis quinquestriata","Five-striped Sparrow","Amphispizopsis quinquestriata_Five-striped Sparrow",NA,NA,NA
"Anabacerthia amaurotis","White-browed Foliage-gleaner","Anabacerthia amaurotis_White-browed Foliage-gleaner",NA,NA,NA
"Anabacerthia lichtensteini","Ochre-breasted Foliage-gleaner","Anabacerthia lichtensteini_Ochre-breasted Foliage-gleaner",NA,NA,NA
"Anabacerthia ruficaudata","Rufous-tailed Foliage-gleaner","Anabacerthia ruficaudata_Rufous-tailed Foliage-gleaner",NA,NA,NA
"Anabacerthia striaticollis","Montane Foliage-gleaner","Anabacerthia striaticollis_Montane Foliage-gleaner",NA,NA,NA
"Anabacerthia variegaticeps","Scaly-throated Foliage-gleaner","Anabacerthia variegaticeps_Scaly-throated Foliage-gleaner",NA,NA,NA
"Anabazenops dorsalis","Dusky-cheeked Foliage-gleaner","Anabazenops dorsalis_Dusky-cheeked Foliage-gleaner",NA,NA,NA
