"SUBNATION_NAME","NAME_CATEGORY_DESC","ELCODE","FAMILY","SNAME","SCOMNAME","GNAME","GCOMNAME","S_RANK","N_RANK","G_RANK","ORIGIN_DESC","CURR_PRESENCE_ABSENCE_DESC","EO_TRACK_STATUS_DESC","Scientific Name","English Name","BirdNET"
"Alberta","Vertebrate Animal","ABNMK01010","Gruidae","Antigone canadensis","Sandhill Crane","Antigone canadensis","Sandhill Crane","S5B","N5B,N1N,N5M","G5","Native","Present","Do not track","Antigone canadensis","Sandhill Crane","Antigone canadensis_Sandhill Crane"
"Alberta","Vertebrate Animal","ABPBX01090","Parulidae","Leiothlypis luciae","Lucy's Warbler","Leiothlypis luciae","Lucy's Warbler","SNA","NNA","G5","Native","Unknown/Undetermined","Do not track","Leiothlypis luciae","Lucy's Warbler","Leiothlypis luciae_Lucy's Warbler"
"Alberta","Vertebrate Animal","ABNKC11011","Accipitridae","Circus hudsonius","Northern Harrier","Circus hudsonius","Northern Harrier","S4B","N5B,N4N","G5","Native","Present","Do not track","Circus hudsonius","Northern Harrier","Circus hudsonius_Northern Harrier"
"Alberta","Vertebrate Animal","ABPBR01040","Laniidae","Lanius borealis","Northern Shrike","Lanius borealis","Northern Shrike","SUB,S4N,SUM","N5B,N5N,N5M","G5","Native","Present","Do not track","Lanius borealis","Northern Shrike","Lanius borealis_Northern Shrike"
"Alberta","Vertebrate Animal","ABPBR01040","Laniidae","Lanius borealis","Northern Shrike","Lanius borealis","Northern Shrike","SUB,S4N,SUM","N5B,N5N,N5M","G5","Native","Unknown/Undetermined","Do not track","Lanius borealis","Northern Shrike","Lanius borealis_Northern Shrike"
"Alberta","Vertebrate Animal","ABNJB04010","Anatidae","Anser caerulescens","Snow Goose","Anser caerulescens","Snow Goose","S5M","N5B,N4N5N,N5M","G5","Native","Present","Do not track","Anser caerulescens","Snow Goose","Anser caerulescens_Snow Goose"
"Alberta","Vertebrate Animal","ABNJB10120","Anatidae","Spatula querquedula","Garganey","Spatula querquedula","Garganey","SNA","NNA","G5","Native","Unknown/Undetermined","Do not track","Spatula querquedula","Garganey","Spatula querquedula_Garganey"
"Alberta","Vertebrate Animal","ABNJB10130","Anatidae","Spatula discors","Blue-winged Teal","Spatula discors","Blue-winged Teal","S5B","N5B,N5M","G5","Native","Present","Do not track","Spatula discors","Blue-winged Teal","Spatula discors_Blue-winged Teal"
"Alberta","Vertebrate Animal","ABNJB10140","Anatidae","Spatula cyanoptera","Cinnamon Teal","Spatula cyanoptera","Cinnamon Teal","S4B","N5B,NUN,N4N5M","G5","Native","Present","Do not track","Spatula cyanoptera","Cinnamon Teal","Spatula cyanoptera_Cinnamon Teal"
"Alberta","Vertebrate Animal","ABNJB10150","Anatidae","Spatula clypeata","Northern Shoveler","Spatula clypeata","Northern Shoveler","S5B","N5B,N5N,N5M","G5","Native","Present","Do not track","Spatula clypeata","Northern Shoveler","Spatula clypeata_Northern Shoveler"
"Alberta","Vertebrate Animal","ABNJB10160","Anatidae","Mareca strepera","Gadwall","Mareca strepera","Gadwall","S5B","N5B,N5N,N5M","G5","Native","Present","Do not track","Mareca strepera","Gadwall","Mareca strepera_Gadwall"
"Alberta","Vertebrate Animal","ABNJB10180","Anatidae","Mareca americana","American Wigeon","Mareca americana","American Wigeon","S5B","N5B,N5N,N5M","G5","Native","Present","Do not track","Mareca americana","American Wigeon","Mareca americana_American Wigeon"
"Alberta","Vertebrate Animal","ABNYF07030","Picidae","Dryobates pubescens","Downy Woodpecker","Dryobates pubescens","Downy Woodpecker","S5","N5","G5","Native","Present","Do not track","Dryobates pubescens","Downy Woodpecker","Dryobates pubescens_Downy Woodpecker"
"Alberta","Vertebrate Animal","ABNYF07040","Picidae","Dryobates villosus","Hairy Woodpecker","Dryobates villosus","Hairy Woodpecker","S5","N5B,N5N,NUM","G5","Native","Present","Do not track","Dryobates villosus","Hairy Woodpecker","Dryobates villosus_Hairy Woodpecker"
"Alberta","Vertebrate Animal","ABPBXA0010","Passerellidae","Centronyx bairdii","Baird's Sparrow","Centronyx bairdii","Baird's Sparrow","S3B","N4B,N4M","G4","Native","Present","Track all extant and selected historical EOs","Centronyx bairdii","Baird's Sparrow","Centronyx bairdii_Baird's Sparrow"
"Alberta","Vertebrate Animal","ABPBXA0070","Passerellidae","Ammospiza nelsoni","Nelson's Sharp-tailed Sparrow","Ammospiza nelsoni","Nelson's Sparrow","S3S4B","N5B,N5M","G5","Native","Present","Do not track","Ammospiza nelsoni","Nelson's Sparrow","Ammospiza nelsoni_Nelson's Sparrow"
"Alberta","Vertebrate Animal","ABNFD01020","Phalacrocoracidae","Nannopterum auritum","Double-crested Cormorant","Nannopterum auritum","Double-crested Cormorant","S5B,SUN","N5B,N3N4N,N5M","G5","Native","Present","Do not track","Nannopterum auritum","Double-crested Cormorant","Nannopterum auritum_Double-crested Cormorant"
